"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.107916662E-4,-2.125579834E-2,8.083190918E-3,9.858199768E0
1.023879167E-2,-2.829116821E-2,1.796264648E-3,9.832453308E0
2.025079167E-2,-2.559677124E-2,1.796264648E-3,9.851613464E0
3.026479167E-2,-1.841171265E-2,-1.945953369E-3,9.840835876E0
4.027879167E-2,-1.945953369E-2,-1.496887207E-4,9.846823425E0
5.029279167E-2,-8.831634521E-3,-2.245330811E-3,9.849368134E0
6.030579167E-2,-2.484832764E-2,-5.987548828E-3,9.848769379E0
7.031829166E-2,-2.514770508E-2,1.197509766E-3,9.832004242E0
8.033229168E-2,-3.338058472E-2,3.592529297E-3,9.841883698E0
9.034629168E-2,-2.395019531E-2,-1.197509766E-3,9.842781830E0
1.003592917E-1,-2.679428101E-2,-2.395019531E-3,9.839338989E0
1.103732917E-1,-2.514770508E-2,5.538482666E-3,9.835746460E0
1.203872917E-1,-3.113525391E-2,8.981323242E-4,9.837393036E0
1.304002917E-1,-2.110610962E-2,3.592529297E-3,9.840985565E0
1.404142917E-1,-1.541793823E-2,3.143463135E-3,9.846673737E0
1.504282917E-1,-1.886077881E-2,3.293151855E-3,9.839788055E0
1.604412917E-1,-2.245330811E-2,1.257385254E-2,9.847272491E0
1.704552917E-1,-3.053649902E-2,5.089416504E-3,9.835297394E0
1.804692917E-1,-2.020797729E-2,-1.496887207E-4,9.851014709E0
1.904832917E-1,-2.290237427E-2,7.484436035E-3,9.848470001E0
2.004962917E-1,-2.275268555E-2,-2.245330811E-3,9.843979340E0
2.105102917E-1,-2.634521484E-2,1.496887207E-3,9.839338989E0
2.205242917E-1,-1.811233521E-2,-1.796264648E-3,9.837542725E0
2.305372917E-1,-2.200424194E-2,-5.987548828E-4,9.843230896E0
2.405512917E-1,-2.634521484E-2,2.844085693E-3,9.851164398E0
2.505652917E-1,-1.437011719E-2,6.286926270E-3,9.848619690E0
2.605792917E-1,-2.724334717E-2,2.395019531E-3,9.842183075E0
2.705922917E-1,-2.844085693E-2,1.002914429E-2,9.838440857E0
2.806062917E-1,-2.784210205E-2,-2.395019531E-3,9.840985565E0
2.906202917E-1,-2.155517578E-2,-1.796264648E-3,9.837991791E0
3.006332917E-1,-1.960922241E-2,6.885681152E-3,9.836345215E0
3.106472917E-1,-2.230361938E-2,6.586303711E-3,9.836943970E0
3.206612917E-1,-2.664459229E-2,8.981323242E-4,9.842931519E0
3.306742917E-1,-1.901046753E-2,1.945953369E-3,9.841434631E0
3.406882917E-1,-2.365081787E-2,7.634124756E-3,9.839488678E0
3.507022917E-1,-1.706451416E-2,4.939727783E-3,9.835596771E0
3.607162917E-1,-1.691482544E-2,-0.000000000E0,9.841135254E0
3.707292917E-1,-2.649490356E-2,5.837860107E-3,9.841883698E0
3.807432917E-1,-2.484832764E-2,-8.981323242E-4,9.835297394E0
3.907572917E-1,-2.484832764E-2,4.191284180E-3,9.844578094E0
4.007702917E-1,-2.694396973E-2,4.790039062E-3,9.826316071E0
4.107842917E-1,-1.631607056E-2,1.347198486E-3,9.836943970E0
4.207982917E-1,-2.993774414E-2,2.844085693E-3,9.838740234E0
4.308122917E-1,-2.574645996E-2,9.131011963E-3,9.839638367E0
4.408252917E-1,-2.125579834E-2,7.484436035E-4,9.847422180E0
4.508392917E-1,-2.185455322E-2,2.245330811E-3,9.839488678E0
4.608532917E-1,-3.068618774E-2,8.382568359E-3,9.839937744E0
4.708662917E-1,-3.712280273E-2,7.185058594E-3,9.842931519E0
4.808802917E-1,-2.709365845E-2,8.232879639E-3,9.839338989E0
4.908942917E-1,-1.182540894E-2,8.831634521E-3,9.847571869E0
5.009082917E-1,-2.424957275E-2,5.837860107E-3,9.846224670E0
5.109212917E-1,-2.245330811E-2,1.945953369E-3,9.851463776E0
5.209352917E-1,-2.589614868E-2,1.496887207E-3,9.837393036E0
5.309492917E-1,-2.784210205E-2,8.681945801E-3,9.844877472E0
5.409622917E-1,-3.098556519E-2,-4.490661621E-4,9.840686188E0
5.509762917E-1,-2.050735474E-2,6.586303711E-3,9.834548950E0
5.609902917E-1,-2.350112915E-2,4.490661621E-3,9.845476227E0
5.710042917E-1,-3.008743286E-2,2.095642090E-3,9.841883698E0
5.810172917E-1,-2.739303589E-2,2.095642090E-3,9.841734009E0
5.910312917E-1,-2.080673218E-2,3.742218018E-3,9.844727783E0
6.010452917E-1,-2.380050659E-2,5.239105225E-3,9.845625916E0
6.110582917E-1,-2.679428101E-2,-5.987548828E-4,9.847571869E0
6.210722917E-1,-2.769241333E-2,4.790039062E-3,9.837542725E0
6.310862917E-1,-2.409988403E-2,5.089416504E-3,9.834548950E0
6.410992917E-1,-2.065704346E-2,2.993774414E-3,9.847571869E0
6.511132917E-1,-2.275268555E-2,-2.694396973E-3,9.842632141E0
6.611272917E-1,-2.185455322E-2,-1.496887207E-4,9.843081207E0
6.711412917E-1,-2.649490356E-2,7.035369873E-3,9.845027161E0
6.811542917E-1,-2.499801636E-2,2.245330811E-3,9.847422180E0
6.911682917E-1,-2.185455322E-2,1.796264648E-3,9.845176849E0
7.011822917E-1,-1.856140137E-2,7.035369873E-3,9.838740234E0
7.111952917E-1,-2.320175171E-2,2.993774414E-4,9.838440857E0
7.212092917E-1,-3.143463135E-2,-1.197509766E-3,9.856852570E0
7.312232917E-1,-2.888992310E-2,1.122665405E-2,9.855804749E0
7.412372917E-1,-1.796264648E-2,-2.095642090E-3,9.842183075E0
7.512502917E-1,-2.694396973E-2,-2.993774414E-4,9.838440857E0
7.612642917E-1,-1.945953369E-2,5.987548828E-4,9.836045837E0
7.712782917E-1,-2.664459229E-2,1.317260742E-2,9.849368134E0
7.812912917E-1,-2.395019531E-2,2.993774414E-3,9.845775604E0
7.913052917E-1,-2.275268555E-2,-4.340972900E-3,9.845326538E0
8.013192917E-1,-2.350112915E-2,5.987548828E-4,9.839638367E0
8.113332917E-1,-1.930984497E-2,5.837860107E-3,9.842632141E0
8.213462917E-1,-2.529739380E-2,8.981323242E-4,9.846074982E0
8.313602917E-1,-2.814147949E-2,2.245330811E-3,9.839039612E0
8.413742917E-1,-1.781295776E-2,5.089416504E-3,9.836494904E0
8.513872917E-1,-2.395019531E-2,8.981323242E-3,9.840985565E0
8.614012917E-1,-2.963836670E-2,5.089416504E-3,9.849966888E0
8.714152917E-1,-1.975891113E-2,2.694396973E-3,9.849517822E0
8.814292917E-1,-2.484832764E-2,2.844085693E-3,9.852661285E0
8.914422917E-1,-2.409988403E-2,8.981323242E-4,9.836494904E0
9.014562917E-1,-2.005828857E-2,-6.137237549E-3,9.843380585E0
9.114702917E-1,-3.397933960E-2,4.041595459E-3,9.850865021E0
9.214832917E-1,-2.888992310E-2,3.293151855E-3,9.845176849E0
9.314972917E-1,-2.439926147E-2,9.879455566E-3,9.843829651E0
9.415112917E-1,-2.619552612E-2,6.735992432E-3,9.837692413E0
9.515252917E-1,-2.185455322E-2,1.496887207E-3,9.845027161E0
9.615382917E-1,-2.080673218E-2,4.191284180E-3,9.850116577E0
9.715522917E-1,-2.260299683E-2,8.083190918E-3,9.841734009E0
9.815662917E-1,-2.245330811E-2,7.185058594E-3,9.840087433E0
9.915792917E-1,-2.380050659E-2,5.089416504E-3,9.834698639E0
1.001593292E0,-2.005828857E-2,3.891906738E-3,9.845625916E0
1.011607292E0,-1.347198486E-2,-3.442840576E-3,9.843679962E0
1.021621292E0,-2.155517578E-2,-1.496887207E-4,9.839788055E0
1.031634292E0,-2.035766602E-2,4.191284180E-3,9.834249573E0
1.041648292E0,-1.796264648E-2,6.885681152E-3,9.838740234E0
1.051662292E0,-2.185455322E-2,8.532257080E-3,9.849517822E0
1.061675292E0,-2.050735474E-2,6.137237549E-3,9.838141479E0
1.071689708E0,-2.005828857E-2,8.981323242E-4,9.845625916E0
1.081703708E0,-3.113525391E-2,3.891906738E-3,9.853559418E0
1.091717708E0,-1.916015625E-2,-0.000000000E0,9.849817200E0
1.101730708E0,-2.859054565E-2,6.137237549E-3,9.844129028E0
1.111744708E0,-2.035766602E-2,1.796264648E-3,9.845476227E0
1.121758708E0,-1.646575928E-2,-3.742218018E-3,9.843979340E0
1.131771708E0,-2.395019531E-2,-2.544708252E-3,9.844278717E0
1.141785708E0,-2.844085693E-2,1.646575928E-3,9.842183075E0
1.151799708E0,-2.619552612E-2,-3.592529297E-3,9.844129028E0
1.161813708E0,-2.664459229E-2,7.484436035E-4,9.833201752E0
1.171826708E0,-3.113525391E-2,6.735992432E-3,9.851463776E0
1.181840708E0,-2.350112915E-2,4.490661621E-4,9.854607239E0
1.191854708E0,-2.424957275E-2,1.047821045E-3,9.840087433E0
1.201867708E0,-3.128494263E-2,5.089416504E-3,9.850715332E0
1.211881708E0,-2.724334717E-2,4.790039062E-3,9.843530273E0
1.221895708E0,-2.978805542E-2,3.442840576E-3,9.842183075E0
1.231908708E0,-2.260299683E-2,7.634124756E-3,9.841734009E0
1.241922708E0,-2.439926147E-2,2.844085693E-3,9.844278717E0
1.251936708E0,-1.586700439E-2,8.532257080E-3,9.847422180E0
1.261950708E0,-2.409988403E-2,1.182540894E-2,9.846524048E0
1.271963708E0,-2.275268555E-2,2.544708252E-3,9.837093658E0
1.281977708E0,-1.945953369E-2,2.844085693E-3,9.841883698E0
1.291991708E0,-2.140548706E-2,6.436614990E-3,9.843979340E0
1.302004708E0,-2.514770508E-2,-4.790039062E-3,9.850266266E0
1.312018708E0,-2.604583740E-2,9.131011963E-3,9.846224670E0
1.322032708E0,-2.814147949E-2,1.062789917E-2,9.844877472E0
1.332046708E0,-2.305206299E-2,1.197509766E-3,9.844278717E0
1.342059708E0,-2.454895020E-2,5.239105225E-3,9.845625916E0
1.352073708E0,-2.589614868E-2,6.436614990E-3,9.856553192E0
1.362087708E0,-2.694396973E-2,8.981323242E-3,9.845326538E0
1.372100708E0,-2.574645996E-2,8.831634521E-3,9.858798523E0
1.382114708E0,-2.993774414E-2,1.272354126E-2,9.842482452E0
