"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.529979167E-2,4.403013736E-5,-4.814502317E-4,-1.153615769E-3
6.531279167E-2,-7.954053581E-5,2.106609754E-3,1.127381809E-3
7.532529168E-2,2.741556615E-3,-2.797324676E-3,2.118424512E-3
8.533929168E-2,3.650226630E-3,7.007373497E-4,5.255877040E-4
9.535229167E-2,-2.422731835E-3,1.185058150E-3,-2.324813977E-5
1.053662917E-1,4.385681823E-4,9.104865603E-4,2.405821113E-3
1.153802917E-1,2.099839970E-3,-7.471465506E-4,1.056835521E-3
1.253942917E-1,2.035125159E-3,-5.045325961E-4,-3.102701157E-6
1.354072917E-1,-7.743304595E-4,-3.917939030E-4,-1.623565331E-3
1.454212917E-1,1.492286101E-3,1.138192136E-3,-8.507161401E-4
1.554352917E-1,2.124894410E-3,1.546012005E-3,-1.579523087E-5
1.654482917E-1,-9.651710279E-4,-1.342452364E-3,-4.935124889E-5
1.754622917E-1,-1.650167629E-3,-6.007624324E-4,-1.702569425E-4
1.854762917E-1,3.863517195E-4,-6.067333743E-5,8.116504177E-4
1.954892917E-1,-5.200635642E-4,-1.563300379E-3,1.390911639E-4
2.055032917E-1,-5.285860971E-4,-1.067419769E-3,-1.105936710E-3
2.155172917E-1,-1.592207234E-3,-4.604528658E-5,1.079976559E-3
2.255312917E-1,8.906582370E-4,1.158502651E-3,-1.392235979E-3
2.355442917E-1,1.402751543E-3,-8.039888926E-4,1.763873734E-4
2.455582917E-1,-1.019126736E-3,1.916962909E-3,-6.611766294E-4
2.555722917E-1,1.706554554E-3,-1.061425079E-3,3.091492690E-3
2.655852917E-1,-1.166996080E-3,-8.997712284E-4,1.008900814E-3
2.755992917E-1,-1.350315288E-4,2.934793010E-4,8.510891348E-5
2.856132917E-1,-1.284717582E-3,-1.587255392E-4,-5.607078783E-4
2.956272917E-1,1.895160414E-3,-2.549625933E-4,-1.316827256E-3
3.056402917E-1,-1.078024507E-4,-2.363203093E-4,-1.777932048E-4
3.156542917E-1,4.224451259E-4,4.779957235E-4,-8.371868171E-4
3.256682917E-1,8.355015889E-4,-1.900207018E-3,-8.158814162E-4
3.356812917E-1,9.922655299E-4,2.408326603E-3,3.982602619E-3
3.456952917E-1,2.947840840E-4,-9.003847372E-4,4.139668308E-4
3.557092917E-1,1.813359559E-4,-3.788061440E-5,-7.078456692E-4
3.657222917E-1,-1.316958573E-3,3.191468539E-3,-2.596355043E-4
3.757362917E-1,-1.405750867E-3,2.052865224E-3,-6.806412712E-4
3.857502917E-1,3.849584609E-4,-1.469165552E-3,-1.125655137E-3
3.957642917E-1,1.379459165E-3,-9.099068120E-4,-3.119651228E-4
4.057772917E-1,2.356311306E-4,-9.820784908E-4,-4.046433605E-4
4.157912917E-1,1.495571807E-3,3.097809386E-4,-1.187131740E-3
