"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.529979167E-2,-2.284334564E1,6.878386736E-1,-5.091564941E1
6.531279167E-2,-2.287177277E1,5.061509609E-1,-5.084902954E1
7.532529168E-2,-2.287404633E1,5.957592726E-1,-5.083297729E1
8.533929168E-2,-2.287909698E1,6.744345427E-1,-5.098516846E1
9.535229167E-2,-2.274495697E1,6.101095676E-1,-5.093429565E1
1.053662917E-1,-2.271532440E1,6.062657833E-1,-5.094699097E1
1.153802917E-1,-2.287401581E1,7.142661810E-1,-5.065914917E1
1.253942917E-1,-2.297826385E1,8.695010543E-1,-5.115890503E1
1.354072917E-1,-2.294518280E1,6.030787230E-1,-5.084414673E1
1.454212917E-1,-2.301892853E1,5.730668306E-1,-5.039749146E1
1.554352917E-1,-2.282779694E1,8.166081309E-1,-5.064599609E1
1.654482917E-1,-2.263539886E1,5.624487400E-1,-5.094134521E1
1.754622917E-1,-2.245822906E1,3.795444965E-1,-5.063223267E1
1.854762917E-1,-2.253783417E1,4.566352367E-1,-5.080398560E1
1.954892917E-1,-2.278881073E1,5.134416819E-1,-5.120364380E1
2.055032917E-1,-2.286956024E1,4.995357990E-1,-5.139212036E1
2.155172917E-1,-2.290579987E1,6.929064989E-1,-5.080657959E1
2.255312917E-1,-2.292618561E1,4.836544991E-1,-5.088638306E1
2.355442917E-1,-2.277271271E1,4.300049543E-1,-5.089028931E1
2.455582917E-1,-2.273950958E1,4.758107662E-1,-5.072824097E1
2.555722917E-1,-2.269158173E1,5.923311710E-1,-5.103674316E1
2.655852917E-1,-2.272408295E1,4.715130329E-1,-5.094622803E1
2.755992917E-1,-2.277248383E1,3.580515385E-1,-5.041003418E1
2.856132917E-1,-2.268517303E1,4.467194080E-1,-5.060882568E1
2.956272917E-1,-2.284772491E1,2.351654768E-1,-5.118807983E1
3.056402917E-1,-2.287973785E1,5.215024948E-2,-5.066690063E1
3.156542917E-1,-2.283367157E1,2.791733742E-1,-5.067947388E1
3.256682917E-1,-2.260866547E1,3.759666681E-1,-5.064990234E1
3.356812917E-1,-2.259793854E1,7.660568953E-1,-5.088586426E1
3.456952917E-1,-2.289498138E1,6.568938494E-1,-5.103234863E1
3.557092917E-1,-2.269950104E1,7.520465851E-1,-5.096707153E1
3.657222917E-1,-2.273986053E1,7.289361954E-1,-5.081964111E1
3.757362917E-1,-2.280178070E1,7.350323200E-1,-5.064633179E1
3.857502917E-1,-2.280745697E1,7.086367607E-1,-5.037283325E1
3.957642917E-1,-2.274524689E1,8.937479258E-1,-5.086755371E1
4.057772917E-1,-2.275293732E1,7.941870093E-1,-5.040362549E1
4.157912917E-1,-2.299202728E1,4.858886003E-1,-5.061160278E1
4.258052917E-1,-2.298909760E1,7.018594742E-1,-5.041909790E1
4.358182917E-1,-2.279213715E1,6.802670956E-1,-5.093640137E1
4.458322917E-1,-2.272840118E1,6.685545444E-1,-5.095355225E1
4.558462917E-1,-2.282529449E1,7.590768337E-1,-5.048855591E1
4.658602917E-1,-2.268421173E1,6.579091549E-1,-5.020086670E1
4.758732917E-1,-2.259061432E1,7.996345758E-1,-5.046539307E1
4.858872917E-1,-2.267090607E1,6.180379391E-1,-5.079876709E1
4.959012917E-1,-2.264704132E1,5.602626801E-1,-5.096224976E1
5.059142917E-1,-2.297307587E1,6.617993116E-1,-5.077474976E1
5.159282917E-1,-2.276741791E1,6.717692614E-1,-5.068792725E1
5.259422917E-1,-2.279203033E1,5.910449028E-1,-5.102526855E1
5.359562917E-1,-2.276456451E1,4.799342155E-1,-5.101214600E1
5.459692917E-1,-2.266362762E1,6.846423149E-1,-5.091369629E1
5.559832917E-1,-2.285070038E1,5.360352993E-1,-5.121258545E1
5.659972917E-1,-2.272887421E1,7.140686512E-1,-5.072705078E1
5.760102917E-1,-2.268798065E1,5.113785267E-1,-5.052868652E1
5.860242917E-1,-2.263426971E1,6.917796135E-1,-5.039846802E1
5.960382917E-1,-2.257732391E1,7.622155547E-1,-5.052691650E1
6.060522917E-1,-2.264388275E1,5.621085167E-1,-5.052285767E1
6.160652917E-1,-2.260408783E1,3.478349447E-1,-5.086892700E1
6.260792917E-1,-2.290937042E1,3.105820417E-1,-5.096191406E1
6.360932917E-1,-2.269382477E1,3.661085367E-1,-5.045138550E1
6.461062917E-1,-2.256439972E1,4.062654972E-1,-5.059811401E1
6.561202917E-1,-2.264864349E1,3.515982628E-1,-5.058340454E1
6.661342917E-1,-2.243061066E1,7.385228872E-1,-5.065170288E1
6.761472917E-1,-2.264563751E1,6.294631958E-1,-5.105596924E1
6.861612917E-1,-2.288153839E1,4.836748838E-1,-5.085449219E1
6.961752917E-1,-2.270977020E1,6.736011505E-1,-5.071588135E1
7.061892917E-1,-2.257663727E1,5.490703583E-1,-5.043893433E1
7.162022917E-1,-2.271308136E1,5.570187569E-1,-5.059939575E1
7.262162917E-1,-2.267787933E1,7.293957472E-1,-5.072033691E1
7.362302917E-1,-2.256275177E1,6.183183193E-1,-5.063592529E1
7.462432917E-1,-2.258960724E1,5.514022112E-1,-5.062274170E1
7.562572917E-1,-2.262943268E1,5.442011356E-1,-5.071661377E1
7.662712917E-1,-2.252556610E1,4.382641315E-1,-5.079223633E1
7.762852917E-1,-2.277278900E1,5.309401751E-1,-5.053869629E1
7.862982917E-1,-2.268277740E1,5.942345858E-1,-5.051742554E1
7.963122917E-1,-2.297624969E1,4.555824995E-1,-5.060238647E1
8.063262917E-1,-2.279938507E1,5.529090166E-1,-5.036856079E1
8.163392917E-1,-2.274295807E1,5.422284603E-1,-5.042407227E1
8.263532917E-1,-2.268080902E1,6.329897642E-1,-5.047235107E1
8.363672917E-1,-2.291640472E1,4.237563610E-1,-5.058496094E1
8.463812917E-1,-2.291640472E1,4.237563610E-1,-5.058496094E1
8.563942917E-1,-2.262343597E1,5.715776682E-1,-5.091967773E1
8.664082917E-1,-2.280719757E1,5.324339867E-1,-5.083587646E1
8.764222917E-1,-2.257616425E1,4.822250605E-1,-5.034902954E1
8.864352917E-1,-2.272429657E1,4.375886917E-1,-5.023840332E1
8.964492917E-1,-2.285263824E1,6.227370501E-1,-5.047570801E1
9.064632917E-1,-2.267470551E1,6.813921928E-1,-5.042123413E1
9.164772917E-1,-2.268767548E1,7.171453238E-1,-5.092016602E1
9.264902917E-1,-2.267040253E1,5.458098650E-1,-5.038031006E1
9.365042917E-1,-2.259825897E1,4.863375425E-1,-5.054885864E1
9.465182917E-1,-2.269776154E1,4.069280624E-1,-5.063375854E1
9.565312917E-1,-2.273358917E1,5.538526773E-1,-5.090603638E1
9.665452917E-1,-2.273667145E1,4.831577539E-1,-5.076354980E1
9.765592917E-1,-2.257563019E1,5.881127119E-1,-5.038519287E1
9.865732917E-1,-2.264408112E1,5.348259211E-1,-5.075280762E1
9.965862917E-1,-2.264383698E1,5.515346527E-1,-5.067630005E1
1.006600292E0,-2.259427643E1,7.235558033E-1,-5.070257568E1
1.016614292E0,-2.250209808E1,7.260671854E-1,-5.038046265E1
1.026627292E0,-2.283463287E1,6.623011827E-1,-5.019607544E1
1.036641292E0,-2.284857941E1,5.471314192E-1,-5.023678589E1
1.046655292E0,-2.296137238E1,3.177887201E-1,-5.052236938E1
1.056669292E0,-2.279117584E1,4.351619482E-1,-5.070864868E1
1.066682292E0,-2.267899323E1,4.985427856E-1,-5.055523682E1
1.076696708E0,-2.262660980E1,6.999375820E-1,-5.019064331E1
1.086710708E0,-2.249990082E1,6.149009466E-1,-5.058685303E1
1.096723708E0,-2.258261871E1,6.549830437E-1,-5.058230591E1
1.106737708E0,-2.274626923E1,5.199854374E-1,-5.035217285E1
1.116751708E0,-2.276160431E1,5.411434174E-1,-5.047286987E1
